_time;;;;;;;;;_difference
Float;;;Double;;;Fraction;;;Float;;;Double;;;Fraction;;
G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG
413,8778;458,349;980,2365;677,1162;482,2287;1056,0251;0;0;0;1,09468698501587;0,00897453539073467;0,00414047762751579;3,48982316135393E-09;7,71145820810393E-12;6,58351151372472E-12;0;0;0
457,779;521,5576;994,2202;536,707;545,0478;1138,6693;0;0;0;2,86614036560059;0,00651930458843708;0,0188648719340563;3,3548894634583E-09;1,16833678148742E-11;1,78108534865107E-11;0;0;0
495,7998;462,9946;1076,8349;572,726;575,5991;1135,0015;0;0;0;10,7184543609619;0,0124927870929241;0,00345536600798368;1,85519153962643E-08;1,2653423447917E-11;8,83478880331356E-12;0;0;0
404,3385;449,6094;1073,1186;477,0228;516,5857;1165,4291;0;0;0;4,25985860824585;0,0230193361639977;0,0119763445109129;9,20832757267398E-10;2,02446531760714E-11;3,68898488145586E-11;0;0;0
534,9451;536,0628;1158,4257;619,9406;624,4031;1266,4435;0;0;0;6,88960599899292;0,0244559608399868;0,0196807011961937;3,29673357363225E-09;1,14740925094559E-11;3,8667277713067E-11;0;0;0
501,5995;540,6265;1148,3199;596,7103;590,514;1254,3473;0;0;0;0,817095339298248;0,00310906860977411;0,00336574949324131;1,21317609777516E-09;7,06919418835827E-12;5,6523813407594E-12;0;0;0
535,9537;531,119;1157,5312;593,6523;580,44;1268,2125;0;0;0;1,83794128894806;0,00509599968791008;0,00624722428619862;4,76500892562792E-09;8,58882062693134E-12;5,04449954030761E-12;0;0;0
536,2647;616,1488;1195,2385;859,1554;549,232;1271,0656;0;0;0;3,77125859260559;0,0104257389903069;0,00551352649927139;1,20125271882432E-09;2,32594048188428E-11;3,7914914263748E-11;0;0;0
523,2321;516,5605;1136,6481;818,3529;605,2615;1227,865;0;0;0;3,30240631103516;0,0507828071713448;0,0120331533253193;5,04270682051555E-08;3,99406436743521E-11;8,22716894610664E-12;0;0;0
582,9681;576,6463;1143,7208;623,9614;580,2258;1252,9593;0;0;0;11,15087890625;0,0744495093822479;0,0311527848243713;9,74337634879197E-09;4,38637876021275E-11;9,81082576290149E-12;0;0;0
529,5858;537,2549;1229,0778;885,1578;571,62;1370,8821;0;0;0;3,7769889831543;0,0135960970073938;0,0135209709405899;3,70160721380186E-08;5,72809716326006E-11;3,01846776740167E-11;0;0;0
508,8855;527,651;1214,4841;654,253;602,2411;1328,4215;0;0;0;0,740625083446503;0,00675903726369143;0,00722240004688501;2,17469831205463E-09;1,2864275616975E-11;2,06049552420318E-11;0;0;0
487,6421;617,8602;1237,731;640,8544;633,6572;1329,8255;0;0;0;3,76211333274841;0,0635098814964294;0,0670046582818031;2,5110241629045E-09;1,55312897959226E-11;1,66054349090561E-11;0;0;0
542,2459;574,7197;1315,9973;920,4467;699,8935;1393,4664;0;0;0;1,77831780910492;0,00673799589276314;0,00497349165380001;1,2565701083822E-09;8,96528684624087E-12;9,24311668870637E-12;0;0;0
531,5236;569,3988;1321,765;970,3952;663,2152;1428,7063;0;0;0;1,02373540401459;0,0297115165740252;0,111226126551628;1,04993889971094E-09;5,21491721333645E-11;1,16098758558281E-09;0;0;0
622,146;575,2555;1311,7113;714,5205;661,1384;1418,072;0;0;0;4,55907392501831;0,00405159778892994;0,00481319846585393;8,09425119291385E-09;6,15390290809037E-12;7,48935635730419E-12;0;0;0
632,4573;606,2743;1346,4525;707,8935;692,3217;1461,2179;0;0;0;2,46237516403198;0,0086321085691452;0,00515774637460709;1,63600131011798E-09;1,72755750676989E-11;4,76674602567506E-12;0;0;0
633,4245;552,71;1378,0654;700,4756;689,9014;1518,0831;0;0;0;1,09803330898285;0,00420518033206463;0,00368795078247786;2,66611070026679E-09;2,6154592380756E-11;1,83426954181165E-11;0;0;0
676,2993;605,451;1394,5427;728,4781;714,6333;1552,9387;0;0;0;13,8890075683594;0,00827022455632687;0,0215932764112949;2,2640001477725E-08;1,84633107414012E-11;7,69862992799908E-12;0;0;0
640,2218;641,7092;1432,8834;746,7155;734,5553;1551,3003;0;0;0;1,2637904882431;0,00919698178768158;0,0238417461514473;3,6300690994806E-09;1,30013179042154E-11;2,32848358650006E-11;0;0;0
696,6926;709,2377;1483,4619;812,2408;788,228;1606,7308;0;0;0;1,85240912437439;0,00950070284307003;0,064443826675415;3,7415559990539E-09;2,97204309773758E-11;3,69886100914929E-11;0;0;0
680,7379;696,1341;1490,3026;795,8799;803,2934;1626,5203;0;0;0;19,1423606872559;0,011310076341033;0,00919247046113014;2,65002581548851E-07;2,37143464587586E-11;2,55943530258484E-11;0;0;0
685,3969;725,1266;1489,2347;810,2525;761,9351;1676,9636;0;0;0;22,6876468658447;0,144959568977356;0,302381843328476;4,823458337605E-08;1,64517618278515E-11;1,17362412149769E-09;0;0;0
745,6994;724,0928;1686,1905;801,9976;814,8451;1678,6098;0;0;0;5,50986385345459;0,0696482285857201;0,00661259144544601;4,40600367301869E-09;1,01909817390444E-11;7,09653724673132E-11;0;0;0
716,9108;773,7055;1589,6019;816,9595;895,1998;1750,206;0;0;0;0,852080583572388;0,00546140968799591;0,065586157143116;2,22964743543108E-09;1,33460846540867E-11;1,18333828846851E-10;0;0;0
782,7555;748,7948;1575,6873;868,7781;863,5337;1716,1549;0;0;0;0,983553111553192;0,0124716926366091;0,0247322414070368;2,2174557086363E-09;2,05545247489169E-10;9,86168872257887E-11;0;0;0
776,8244;755,7548;1625,5209;849,9118;945,4087;1793,8259;0;0;0;2,02917432785034;0,0079277977347374;0,00685693696141243;6,43469800012952E-10;8,21846653231706E-11;1,93356719524473E-11;0;0;0
855,534;856,247;1701,3526;980,8737;980,3505;1830,8862;0;0;0;2,97397232055664;0,00498869828879833;0,00718937069177628;2,71972365462059E-09;1,31896889243865E-11;1,81819073685752E-11;0;0;0
853,8631;822,9863;1733,2775;916,2531;948,4104;1902,8566;0;0;0;6,3366003036499;0,0140677718445659;0,107733003795147;1,61552555916211E-08;3,62171941742373E-11;2,09725306565822E-10;0;0;0
874,829;898,0672;1819,0103;970,788;991,8156;2004,0732;0;0;0;1,50464010238647;0,00639254041016102;0,00431706104427576;1,9208410296373E-08;1,2833624787878E-11;7,28761669066547E-12;0;0;0
836,4206;863,319;1844,8247;1012,2203;1010,2245;1993,8893;0;0;0;0,356868028640747;0,00599969970062375;0,00628192164003849;9,66436437821461E-10;3,74645462222767E-11;1,20281770654707E-11;0;0;0
835,5411;855,432;1810,3105;973,619;965,6407;2045,4805;0;0;0;30,4687175750732;0,0138672571629286;0,00504680722951889;1,19548798777069E-08;1,38836164786937E-11;2,82483550440027E-11;0;0;0
927,5235;921,3147;1933,4674;1086,2934;1053,1009;2117,4088;0;0;0;1,4362416267395;0,0111830784007907;0,00318943336606026;4,6644753476377E-09;3,55649875868891E-11;1,52757632931877E-11;0;0;0
923,2377;886,998;2060,0692;1025,0465;993,121;2276,5019;0;0;0;0,728308618068695;0,014505572617054;0,0124052260071039;1,21309935013914E-09;1,99428321079331E-11;2,1871289501707E-11;0;0;0
1096,0428;1083,708;2113,4798;1262,9062;1245,014;2288,2754;0;0;0;6,4252028465271;0,0200917199254036;0,0182838793843985;1,43795205222175E-08;6,90829754512734E-11;4,87405341781377E-12;0;0;0
942,6845;944,477;1981,7971;1123,4687;1063,5932;2142,4098;0;0;0;7,0495810508728;0,0110814850777388;0,0257554948329926;1,36572592575324E-08;9,90571600439916E-12;1,20245029211485E-11;0;0;0
1047,2173;1058,938;2104,8521;1202,1556;1249,5504;2282,3371;0;0;0;1,49135684967041;0,00681210588663816;0,00728368945419788;9,03601225094031E-10;2,83260099404048E-11;2,57255501623366E-11;0;0;0
982,4377;945,4417;2024,1088;1061,2047;1092,9617;2185,8619;0;0;0;0,271093249320984;0,0235496945679188;0,0270122569054365;1,04326140955291E-09;2,02336983973206E-11;2,53035509212296E-11;0;0;0
982,1568;1038,1028;2167,0201;1193,1569;1189,344;2412,9016;0;0;0;0,493366152048111;0,00763305742293596;0,00435965787619352;1,72356332678314E-09;4,37966503341602E-11;9,61599549986758E-12;0;0;0
990,2816;1034,2173;2179,0795;1132,0158;1107,6092;2361,1051;0;0;0;13,4032726287842;0,00886263325810432;0,084230549633503;2,19582778210325E-08;2,29780083849107E-11;9,91234906655425E-11;0;0;0
1062,1445;1105,7344;2175,1545;1211,7798;1266,8294;2357,5748;0;0;0;501,797607421875;0,0497799217700958;0,126731395721436;5,22050735314583E-07;8,00565204406301E-11;1,77081942859258E-10;0;0;0
1178,1845;1102,7664;2415,9343;1407,7608;1401,6786;2714,4866;0;0;0;4,3531289100647;0,0116114988923073;0,0093437097966671;4,84348921039879E-09;1,50068161022809E-11;2,72080760699289E-11;0;0;0
1263,9729;1296,6351;2563,0558;1457,7136;1500,3819;2819,2852;0;0;0;2,78883194923401;0,0852464288473129;0,100182943046093;1,85887427665843E-07;1,27444771749752E-10;1,49483623396174E-10;0;0;0
1166,5205;1135,4457;2323,5932;1375,499;1376,2922;2572,8713;0;0;0;10,1036500930786;0,0401997640728951;0,0653359964489937;1,71411396496061E-08;3,77477511054325E-11;1,08462669401455E-10;0;0;0
1149,3984;1039,4345;2256,8753;1297,2037;1236,5096;2550,0896;0;0;0;4,61705160140991;0,0994112268090248;0,0262205079197884;3,58865671354694E-08;2,12606770730317E-10;1,07631403789554E-10;0;0;0
1338,2226;1394,1277;2566,6292;1514,0669;1503,8611;2793,5432;0;0;0;6,78468227386475;0,00627393089234829;0,00983398407697678;2,59018745341066E-09;1,26241898878998E-11;1,14116147087451E-11;0;0;0
1432,9917;1450,618;2667,871;1632,7305;1667,0059;2927,4081;0;0;0;13,0530757904053;0,0313547179102898;0,0396803766489029;3,43650388354155E-09;7,6981554811284E-11;6,1614720270331E-11;0;0;0
1530,3095;1555,9983;2950,7398;1838,0587;1897,1721;3121,7388;0;0;0;2,91721820831299;0,043792475014925;0,0236604120582342;1,6720323587488E-08;2,63882218159983E-10;9,28641382541562E-11;0;0;0
1280,4635;1219,1698;2516,3824;1412,3091;1437,5345;2717,8395;0;0;0;3,66840434074402;0,0572760291397572;0,0457466319203377;3,38873278639407E-08;2,29401289630893E-11;1,87434182757906E-11;0;0;0
1198,1902;1228,7696;2517,7775;1504,8825;1494,5254;2773,9528;0;0;0;21,2043857574463;0,0661186873912811;0,0502000860869884;5,90720237308995E-08;4,73519157911939E-11;1,11608763897486E-10;0;0;0
1221,3717;1132,7011;2539,8724;1415,5605;1407,2069;2792,1109;0;0;0;1,2715357542038;0,019597452133894;0,00737612321972847;5,46989722960411E-09;3,16445099290963E-11;1,39318417913259E-11;0;0;0
1164,7032;1269,185;2682,3288;1497,175;1487,8944;2958,9464;0;0;0;4,40628528594971;0,0307210627943277;0,0309965517371893;4,67699618970918E-07;1,61477914373265E-11;3,32612999642823E-11;0;0;0
1283,8357;1333,5952;2783,076;1530,7463;1492,1561;3036,1945;0;0;0;10,522931098938;0,0580129623413086;0,0926235839724541;8,19210611187338E-08;5,0275741902972E-11;7,71830654944239E-11;0;0;0
1511,6262;1560,0467;3224,4014;1767,5;1793,8879;3368,6797;0;0;0;3,3237099647522;0,0132826790213585;0,0239443555474281;1,07557626832788E-08;9,282461951865E-12;1,62924083946248E-11;0;0;0
1768,13;1734,6709;3225,5289;2066,9644;2028,3639;3496,2919;0;0;0;6,6880931854248;0,0268946625292301;0,00365468859672546;5,41006457688287E-09;1,46576726450798E-11;1,45865611256291E-11;0;0;0
1479,6768;1581,9436;3087,6433;1833,775;1941,3964;3345,7468;0;0;0;2,45983648300171;0,0103376135230064;0,0336204580962658;2,34415271048449E-09;2,15515834345315E-11;3,87952621416776E-11;0;0;0
1475,2283;1390,4201;3133,9203;1672,7199;1737,3462;3319,7699;0;0;0;171,731414794922;0,0358219817280769;0,28091362118721;1,97759729300695E-07;5,32755176779753E-10;4,57192168672182E-10;0;0;0
1572,058;1507,7784;3204,1568;1763,2477;1787,1924;3559,8014;0;0;0;1,92651045322418;0,0114548671990633;0,00801851414144039;2,65161453905094E-09;1,96995995904725E-11;1,82808447199423E-11;0;0;0
1665,4642;1699,863;3443,577;1997,4759;2070,3685;3803,2666;0;0;0;16,0107574462891;0,207539826631546;0,0680762827396393;2,02732331963662E-08;2,17262978441379E-11;3,36621282931437E-10;0;0;0
1914,0161;1990,5925;3856,3347;2397,8545;2639,2804;4288,6763;0;0;0;2,56189942359924;0,00879338104277849;0,0111432066187263;5,4022223743011E-09;1,78785649479485E-11;1,29882224766953E-11;0;0;0
1760,6433;1720,0936;3344,4999;2043,6583;2120,5971;3668,5123;0;0;0;59,1695098876953;0,0600983835756779;0,0278072096407413;3,80972983854422E-08;1,42384628393222E-11;2,40741393833788E-11;0;0;0
2139,2555;2063,0648;3902,3842;2305,5419;2390,1167;4083,4331;0;0;0;7,85880327224731;0,0243229605257511;0,0342481583356857;1,89369732117584E-08;3,8454038564506E-11;9,04763763909244E-12;0;0;0
2091,0034;2120,5864;3813,7641;2317,8399;2265,6132;4021,1053;0;0;0;2,1956946849823;0,0348957851529121;0,0155756836757064;3,63596435164898E-09;2,03625900863091E-11;3,83263420999924E-11;0;0;0
1579,2349;1699,9934;3299,15;1902,6441;1989,9137;3611,5042;0;0;0;2,53440046310425;0,0441367477178574;0,0402904413640499;9,43794893973338E-09;3,47846603951374E-11;3,43985135514702E-11;0;0;0
1580,6943;1625,1198;3151,0979;1848,5815;1781,2026;3464,1867;0;0;0;1987,32897949219;0,0276287011802197;0,00826503895223141;9,70420250025195E-08;4,44721030834483E-11;4,68833687150561E-11;0;0;0
1655,4739;1599,5786;3217,0158;1887,3338;1913,4165;3523,7888;0;0;0;16,8827037811279;0,0164732225239277;0,00643786415457726;3,75897458472496E-09;2,43343470374136E-11;1,31847987389078E-11;0;0;0
1786,0196;1707,3878;3440,2917;1942,092;1945,3659;3753,2439;0;0;0;0,720134377479553;0,0234699565917253;0,00764247868210077;9,25249038497E-09;1,61951261429261E-10;6,39170244509657E-11;0;0;0
1797,1837;1898,3032;3934,3814;2267,6602;2321,345;4205,3801;0;0;0;1,3224139213562;0,00844613462686539;0,00771562196314335;3,64286223972568E-09;2,80489381720983E-11;1,37947830242124E-11;0;0;0
1786,5365;1822,2186;3609,1443;2075,3525;2167,3117;3903,5092;0;0;0;3,60113000869751;0,0134720178321004;0,00468086078763008;1,72326819758428E-08;2,01875356709014E-11;4,47223438837518E-11;0;0;0
1860,8316;1771,2638;3851,6437;2182,2173;2270,29;4167,7129;0;0;0;2,74615144729614;0,0853333324193954;0,0193482246249914;5,71652735147392E-09;1,56159076555168E-11;8,51948026014959E-12;0;0;0
1739,071;1758,0177;3528,1897;1979,3992;1970,3376;3945,1448;0;0;0;84,9268188476563;0,0358176119625568;0,00933562219142914;4,22061823240893E-07;2,50841188098594E-11;2,08323150396872E-11;0;0;0
