_time;;;;;;;;;_difference
Float;;;Double;;;Fraction;;;Float;;;Double;;;Fraction;;
G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG;G;PG;FG
5,4949;5,7814;11,2077;8,0412;6,2876;15,6969;0;0;0;0,00305690616369247;0,000245042145252228;0,000217247754335403;2,21937745958911E-12;7,8800854730332E-13;5,03645736227298E-13;0;0;0
5,9868;5,9125;16,1369;7,3315;7,2134;16,2247;0;0;0;0,00780859589576721;0,000630550086498261;0,000535784289240837;1,4002661530288E-10;1,64085411924475E-12;4,25309093499138E-13;0;0;0
6,0445;6,3;16,7742;6,5858;7,2615;17,0152;0;0;0;0,256226450204849;0,000216946005821228;0,000212535262107849;5,16758108526361E-10;4,10560474506383E-13;7,08468006482832E-13;0;0;0
7,0169;6,9589;18,4948;6,7671;8,5983;19,6969;0;0;0;0,0219343025237322;0,000599872320890427;0,00097377598285675;8,56466564336245E-11;5,02702046656367E-13;2,40876762980236E-13;0;0;0
8,0151;7,8026;18,7503;7,8235;7,8118;22,7272;0;0;0;0,0651253312826157;0,000829577445983887;0,00503946095705032;7,86838608157758E-10;6,96324942150994E-13;1,27260979532196E-11;0;0;0
9,1762;8,8971;22,3256;8,8818;14,2526;27,5769;0;0;0;0,00240114238113165;0,00191099848598242;0,00148376822471619;8,58059630293173E-12;8,07158159754628E-13;4,81170658872543E-13;0;0;0
31,3569;31,0562;45,7061;13,293;9,8576;47,4173;0;0;0;0,00834871456027031;0,000741947442293167;0,00226237624883652;4,82801229551022E-11;8,80580330875347E-13;1,55794127598696E-12;0;0;0
10,0064;10,3026;25,8217;12,7317;14,9818;27,4394;0;0;0;0,234566375613213;0,00099880900233984;0,000421829521656036;6,78823810530693E-10;7,61300744667182E-13;7,41628980449605E-13;0;0;0
10,9729;10,6756;23,7632;15,9927;15,2066;24,9542;0;0;0;0,00531044974923134;0,000505849719047546;0,00080522894859314;2,06374986544411E-11;7,14740766571964E-13;1,77424741565346E-12;0;0;0
12,0317;13,3508;28,1604;11,8703;12,7943;34,9709;0;0;0;0,0266869030892849;0,000312700867652893;0,000940218567848206;2,61824360803242E-10;3,98292510084275E-13;1,35224470509954E-12;0;0;0
13,6356;14,8199;25,4149;13,5603;16,0518;28,3643;0;0;0;0,0322931483387947;0,00160909071564674;0,000512383878231049;7,18533357813023E-11;8,90239271189586E-13;6,15740097797968E-13;0;0;0
12,4683;13,4192;32,4157;13,5429;18,5645;34,7063;0;0;0;0,138984173536301;0,000419914722442627;0,000234059989452362;3,46897011116454E-10;7,94350696331492E-13;7,96543386805126E-13;0;0;0
14,1541;14,8149;33,1178;14,519;14,9931;35,1818;0;0;0;0,320104867219925;0,000351493014022708;0,000455759465694427;2,90416982129393E-10;1,64127045287898E-12;6,16180717560866E-13;0;0;0
13,4532;15,0582;35,5525;15,8669;16,145;40,7396;0;0;0;0,0619001835584641;0,00134238786995411;0,00159139186143875;1,10063361202783E-10;8,40008618219201E-13;1,39122047215778E-12;0;0;0
14,7763;16,17;39,5871;16,3086;17,5916;41,7552;0;0;0;0,0327236205339432;0,00120377168059349;0,00046209990978241;1,12610688135506E-10;2,45086242967041E-12;3,16358050866938E-13;0;0;0
17,849;17,2283;39,1799;19,1181;18,2241;41,9573;0;0;0;0,112045764923096;0,00261853635311127;0,00372637063264847;1,95926067037E-10;1,0788592241795E-12;1,22317433959296E-12;0;0;0
20,2402;18,8402;41,2725;18,9882;20,4171;42,7659;0;0;0;0,0456093363463879;0,000916153192520142;0,00107534229755402;1,17145182443323E-11;1,44088213582805E-12;7,13019920883795E-13;0;0;0
20,5988;19,1037;44,5339;21,4222;21,2601;50,1542;0;0;0;0,03231081366539;0,000854384154081345;0,00138004496693611;5,87822013287109E-11;2,35561570249843E-12;1,27461236010262E-12;0;0;0
20,0539;19,7541;52,3419;24,0944;22,7659;59,122;0;0;0;0,0890231356024742;0,000701002776622772;0,000535521656274796;5,426854104984E-11;1,57768659247992E-11;4,5763393075049E-12;0;0;0
21,1971;34,5234;58,0187;22,6344;24,1592;55,2531;0;0;0;0,00854801572859287;0,000932569615542889;0,00123703107237816;9,41660985298576E-12;2,97445575114796E-12;9,83831072165486E-13;0;0;0
22,0711;22,9272;55,3374;23,6052;25,2937;59,6031;0;0;0;8,50948238372803;0,003369415178895;0,0077652633190155;9,1791678497738E-08;3,87537224533219E-12;3,2900626667498E-12;0;0;0
26,623;23,8175;59,2641;28,8242;27,0812;63,5455;0;0;0;23,1699504852295;0,00452657416462898;0,000965572893619537;9,94002173307362E-07;1,39473710358828E-11;3,50988335617863E-12;0;0;0
24,8359;25,5602;75,3671;27,7425;41,1486;76,0234;0;0;0;0,0672536492347717;0,000623968429863453;0,000728053040802479;1,20745196827143E-10;8,4504105102301E-13;8,29017410275412E-13;0;0;0
26,441;27,4447;69,2207;30,682;38,5798;76,8729;0;0;0;0,0987942069768906;0,000876884907484055;0,00511100701987743;5,66211938446415E-11;1,23867062440386E-12;5,17076312323006E-12;0;0;0
28,6545;30,7145;79,296;34,8746;31,9903;81,5443;0;0;0;0,0395549237728119;0,00107916072010994;0,00196484103798866;1,11346015740921E-10;1,23143162333861E-12;1,02897898535126E-12;0;0;0
30,4083;30,922;73,969;32,4214;33,9823;70,7532;0;0;0;0,0399347096681595;0,000488545745611191;0,0145474821329117;8,1469178625504E-11;8,11399558653392E-13;7,2434142017741E-12;0;0;0
31,7131;35,2385;67,7949;39,9866;35,5217;77,5082;0;0;0;1,32343411445618;0,00315890181809664;0,0587253868579865;1,41567765843398E-09;2,72315676952406E-12;2,30159537262242E-11;0;0;0
30,6962;33,3295;67,8117;34,8922;36,2389;75,2651;0;0;0;0,084631584584713;0,00289160199463367;0,00155745074152946;2,52503642994562E-10;1,98936180029197E-12;8,84799178368922E-13;0;0;0
34,7389;37,2871;93,4091;40,0159;37,9783;93,0876;0;0;0;1,13678109645844;0,000533100217580795;0,000996608287096024;2,30686963975657E-09;1,76452602529409E-12;1,32052008217087E-12;0;0;0
33,3277;36,941;75,3235;39,2238;39,7436;81,7808;0;0;0;0,31188103556633;0,00223364215344191;0,00174576230347157;6,22129622124268E-10;5,93271265447726E-12;4,6306049272804E-12;0;0;0
34,9114;32,2794;86,5099;55,2268;40,7738;89,2199;0;0;0;0,0516390651464462;0,000630360096693039;0,00245598331093788;1,05384329734948E-10;6,60197591040301E-13;2,64547411754634E-12;0;0;0
38,4409;38,2937;79,7818;59,6996;42,5599;89,589;0;0;0;0,286475509405136;0,00345508195459843;0,000687707215547562;8,71467550900284E-10;4,16435809447169E-12;6,75149172679745E-12;0;0;0
44,1933;43,8637;99,8617;45,3763;46,4546;122,2031;0;0;0;0,0787400156259537;0,0011129267513752;0,000734267756342888;1,15926886146145E-10;1,75309072814045E-12;1,46390191635426E-12;0;0;0
40,5011;37,3924;89,1767;60,2655;41,5458;93,4747;0;0;0;0,013634268194437;0,00273447297513485;0,00918173044919968;4,05527833535757E-11;1,64908364741478E-12;3,53116702545009E-11;0;0;0
40,6943;49,8037;107,5919;69,8423;50,9197;117,4785;0;0;0;0,730379700660706;0,0130466781556606;0,0280750207602978;2,0972888287174E-09;1,95550173276438E-12;1,59832286295014E-11;0;0;0
41,9771;43,8175;101,5065;50,2405;53,1263;112,0334;0;0;0;0,233874678611755;0,000630896538496017;0,00134648382663727;2,60448759781262E-10;2,48561241034118E-12;9,18279341455275E-13;0;0;0
51,9482;53,55;116,1878;53,2534;54,7937;125,959;0;0;0;0,145885467529297;0,00141770020127296;0,000502582639455795;3,54966715743199E-10;1,44933370860301E-12;1,03946018459311E-12;0;0;0
50,8626;55,1492;118,5726;55,6435;55,008;121,2297;0;0;0;0,140046581625938;0,00501128472387791;0,00123461708426476;1,71878743876475E-10;2,76645373276097E-12;2,63175592429832E-12;0;0;0
60,7532;55,5876;129,4952;68,2773;54,354;126,1837;0;0;0;0,23297144472599;0,000937856733798981;0,00203611329197884;4,18997267437327E-10;3,18963605527856E-12;6,49496775806391E-12;0;0;0
57,6832;57,0365;127,5231;64,9579;62,2328;137,5097;0;0;0;2,0481538772583;0,0167092978954315;0,0413205362856388;6,26017336319978E-09;1,71088824531263E-11;7,22115206172602E-11;0;0;0
50,3502;62,3938;130,7055;58,0013;61,8718;139,2908;0;0;0;0,731969714164734;0,00100825913250446;0,000344192609190941;6,57496168621208E-10;2,67931857256265E-12;1,01821329145935E-12;0;0;0
62,1532;63,7299;129,5882;62,9149;51,1546;142,567;0;0;0;9,36184024810791;0,00563191995024681;0,0130708310753107;7,70796176885469E-09;3,07700774582198E-11;2,14818718369258E-11;0;0;0
61,0016;67,3178;142,1054;73,5377;69,1179;151,1784;0;0;0;0,206159964203835;0,0107947308570147;0,0124887339770794;2,09782941018588E-10;8,97296126289859E-12;3,77899100900692E-12;0;0;0
59,3794;72,127;145,7848;71,1065;75,5239;154,8315;0;0;0;0,717212975025177;0,00147654861211777;0,00170918181538582;1,0378085890661E-09;5,89362586511655E-12;8,80569922534491E-12;0;0;0
70,2529;73,212;160,8787;59,0725;71,8575;165,1738;0;0;0;38,7683525085449;0,0047396719455719;0,0650887191295624;2,47215032889159E-08;6,99435787065994E-11;2,5167402883941E-10;0;0;0
66,1694;74,2418;160,1122;79,3878;77,6792;173,1268;0;0;0;12,150616645813;0,00419494230300188;0,00515332072973251;5,97756956086104E-09;4,58083224130768E-12;5,97137617130983E-12;0;0;0
81,4069;79,2971;182,8586;96,2553;87,843;183,4497;0;0;0;0,0891525223851204;0,00265569519251585;0,00138879846781492;2,52978105477752E-10;2,19653982502788E-12;3,53468469771467E-12;0;0;0
78,572;82,646;181,9923;88,986;85,5076;197,0744;0;0;0;0,258580237627029;0,00418410357087851;0,00394675508141518;5,41212004032121E-10;1,80176446679114E-11;1,62487445373727E-11;0;0;0
84,8757;88,7284;183,3804;86,1067;90,2875;188,1667;0;0;0;0,241636753082275;0,001767598092556;0,00791970267891884;1,93071810622447E-09;1,73655534396744E-12;1,05247980469736E-11;0;0;0
76,3653;86,294;185,9009;93,8022;86,6386;192,0557;0;0;0;1,96592628955841;0,00249834731221199;0,0053478330373764;4,63348989038215E-09;1,06042015446395E-11;2,85943491107332E-12;0;0;0
82,2119;77,9568;197,8138;91,9072;101,6316;204,3377;0;0;0;61,3392486572266;0,204049602150917;0,0525813102722168;1,8063103952165E-07;7,75828810917201E-11;6,45216883393696E-10;0;0;0
82,7042;94,0175;214,3178;104,7065;106,8484;228,2269;0;0;0;0,69862699508667;0,00318044051527977;0,00100341439247131;6,74572319878108E-10;7,4555465967574E-12;1,49239509639187E-11;0;0;0
91,5791;88,1394;211,2633;101,3121;104,5718;231,9654;0;0;0;0,193713143467903;0,00141372717916965;0,001120968721807;6,90133667227699E-10;4,29799251744356E-12;3,35832403552949E-12;0;0;0
102,3778;101,3591;225,1917;113,7036;110,3582;249,5254;0;0;0;0,0965861901640892;0,0015883557498455;0,0013860184699297;1,16138682004774E-10;4,51931547740259E-12;4,51184228866808E-12;0;0;0
103,8755;108,1929;225,6896;114,1352;116,4968;252,874;0;0;0;8,68514060974121;0,336000442504883;0,200702339410782;1,57371576429977E-08;2,66585815922316E-11;3,28199273313956E-12;0;0;0
105,0537;98,3631;226,3827;103,5764;115,4065;251,1373;0;0;0;2,19317388534546;0,00886242836713791;0,000753078609704971;4,63371475911689E-09;2,10098570485595E-11;6,06183159224116E-12;0;0;0
109,9868;97,3394;252,4135;122,4923;123,5292;271,5384;0;0;0;0,0925157964229584;0,00272027775645256;0,00429278612136841;1,68833044766892E-10;9,36629940273548E-12;3,37360694935285E-12;0;0;0
112,2987;114,1653;246,4592;127,6966;117,5875;279,1337;0;0;0;0,189679607748985;0,00148448348045349;0,0143477339297533;7,12601422314663E-10;2,02325864395725E-11;5,54084209070105E-12;0;0;0
110,6753;116,6347;273,6805;114,4593;118,511;285,0995;0;0;0;4,93840885162354;0,00981494691222906;0,00228003226220608;1,65113630268277E-08;3,00543791242891E-12;2,34286479106061E-11;0;0;0
115,8595;112,8177;284,2715;188,6063;127,0545;310,1073;0;0;0;0,405087739229202;0,00167270377278328;0,00117208808660507;7,39824645989984E-10;3,08850167662911E-12;2,39228949150405E-12;0;0;0
108,4694;119,0621;268,5071;132,8364;137,7626;290,8879;0;0;0;0,558430075645447;0,00154814124107361;0,00347310304641724;4,72945030360883E-10;1,0625035573586E-11;1,88379867260835E-12;0;0;0
132,5618;126,3196;294,3035;139,5538;161,2977;319,5454;0;0;0;0,50076687335968;0,00801353715360165;0,00602519419044256;1,93663182712633E-10;1,31264339675585E-11;4,90345090919941E-12;0;0;0
133,5196;128,9142;300,3878;113,4272;146,7678;325,5901;0;0;0;8,13657855987549;0,00794858857989311;0,00877843145281076;1,66212768271112E-08;1,41856110191796E-11;6,94219109281802E-11;0;0;0
158,3964;156,067;318,9139;182,5327;169,6025;341,4659;0;0;0;0,480645596981049;0,00312067102640867;0,000974308699369431;4,61671700868749E-10;7,99492243241939E-12;1,77027142944652E-12;0;0;0
139,7668;144,0387;316,4479;150,5099;150,6849;344,8885;0;0;0;1,28561115264893;0,00271385163068771;0,00277519971132278;2,94507403186817E-09;3,86233406368675E-12;1,79395734378751E-12;0;0;0
126,131;151,5503;315,6074;153,6901;169,9492;348,5501;0;0;0;0,734835147857666;0,00575708597898483;0,00154926255345345;6,60707336931632E-10;1,86673662638803E-11;1,68196220839967E-11;0;0;0
129,6169;127,9893;330,2887;162,456;163,7015;359,2963;0;0;0;1,77629029750824;0,00521258357912302;0,00288182497024536;1,71038925383948E-09;4,8320288742465E-12;3,55608251179085E-12;0;0;0
175,7535;167,017;348,5337;190,5057;181,1405;394,4777;0;0;0;0,663674354553223;0,0048544742166996;0,00214976444840431;2,85176494224659E-09;9,76109817973914E-12;4,8365200733258E-12;0;0;0
135,3617;165,975;364,4539;181,7931;172,4435;385,5325;0;0;0;1,23833739757538;0,010687991976738;0,00506171118468046;2,90022107718446E-09;1,14509443593924E-11;2,26854008668342E-11;0;0;0
170,9601;156,348;425,992;183,0577;188,871;472,0877;0;0;0;0,170385390520096;0,00898217037320137;0,00351603887975216;9,02390460966185E-10;6,97415042383298E-12;2,2312568459526E-12;0;0;0
291,8522;302,12;620,6022;324,8348;330,0231;682,4641;0;0;0;0,615043699741364;0,0043223649263382;0,00420458614826202;7,47245224030912E-10;6,86142635764053E-12;1,73818598403486E-11;0;0;0
244,1039;257,0809;462,3852;273,923;274,9415;499,1618;0;0;0;1,03454923629761;0,00751340389251709;0,0219175424426794;1,89218907729882E-09;3,61908419899137E-12;2,30821264879388E-11;0;0;0
166,6161;190,6783;401,7944;207,3668;197,2913;430,8341;0;0;0;0,797120153903961;0,00721323862671852;0,0134745165705681;3,73887920623872E-10;1,17880358252442E-11;3,10537359715646E-11;0;0;0
196,5722;199,3944;421,3218;217,0036;215,5412;451,4993;0;0;0;0,839880228042603;0,0162398442625999;0,0114845689386129;2,0046282342423E-10;1,78561592595328E-11;6,76069963900794E-12;0;0;0
188,5255;190,0209;432,223;217,5106;212,8834;460,4034;0;0;0;0,817237138748169;0,00619274377822876;0,00245170388370752;3,85754976572894E-10;2,32990432502689E-11;1,13235480020402E-11;0;0;0
204,5362;188,9102;499,0194;309,7973;266,831;527,7872;0;0;0;6,13577079772949;0,0155658852308989;0,0109275616705418;4,16537697736641E-09;7,67523128386571E-11;1,81165742130229E-11;0;0;0
237,5385;242,2289;536,192;278,6045;243,8733;581,8784;0;0;0;0,365315616130829;0,00809220969676971;0,012803765013814;1,64617251774413E-09;8,07787170487018E-12;5,79227291130913E-12;0;0;0
250,9015;258,9636;557,8613;295,9626;282,9851;611,8253;0;0;0;8,66197299957275;0,0120388213545084;0,00562162697315216;9,13999861733295E-09;7,91902654562193E-12;3,27781898845636E-12;0;0;0
257,4595;274,1798;583,1241;276,0143;299,9161;620,9693;0;0;0;0,630223512649536;0,00952096842229366;0,00441337004303932;3,42398576852476E-09;5,01376804656894E-12;4,44613790229198E-12;0;0;0
254,924;269,0845;581,5769;280,3419;292,9302;647,664;0;0;0;0,199632927775383;0,00236673653125763;0,0012427531182766;4,6288750306725E-10;5,21188474322809E-12;2,00416766515943E-12;0;0;0
268,5379;239,6829;640,2531;280,9309;297,2462;675,8347;0;0;0;0,1336769759655;0,00279983319342136;0,00344223156571388;2,03628766626274E-10;6,269953306548E-12;2,92152413372548E-12;0;0;0
243,1704;257,4061;570,3714;269,2183;311,21;601,8884;0;0;0;0,755348861217499;0,00689574703574181;0,0244818143546581;5,39325533538415E-09;2,41815040213922E-11;6,9347583231405E-12;0;0;0
242,5292;249,0762;582,9634;297,8022;261,2365;605,1452;0;0;0;0,413290679454803;0,00935536995530128;0,0232007671147585;3,75907327140879E-09;5,10347181181814E-11;2,99220127841782E-11;0;0;0
270,1473;283,4139;590,0183;270,2857;273,1899;637,9098;0;0;0;0,878638982772827;0,0152513962239027;0,00315692275762558;1,37794971266647E-09;1,2774298979723E-11;6,4162009039137E-12;0;0;0
234,6592;271,5757;602,2391;277,6014;283,2257;647,6522;0;0;0;0,230322033166885;0,00579644180834293;0,00220097228884697;4,21265616140643E-10;5,72420583155875E-12;4,93631871489875E-12;0;0;0
249,5426;245,9497;608,9182;421,5188;288,3624;658,517;0;0;0;242,541702270508;0,0130291543900967;0,0133701451122761;6,64061249738834E-09;4,51838219617251E-12;3,60249920172695E-11;0;0;0
269,4841;279,35;624,0067;299,0448;314,2125;683,7477;0;0;0;0,372324198484421;0,00466170161962509;0,00277590379118919;1,05140022382821E-09;3,15892589863864E-11;3,53286844223533E-12;0;0;0
291,9206;285,7907;640,4827;322,7447;311,3489;698,6675;0;0;0;0,832485556602478;0,011291379109025;0,00458170846104622;5,49883344760915E-09;1,57003056389105E-11;4,82970607951216E-12;0;0;0
283,1372;293,8913;662,0765;440,3826;308,3736;714,1583;0;0;0;0,920063257217407;0,00522717088460922;0,00183619745075703;1,28561736256749E-09;1,24893914654756E-11;4,30680838214847E-12;0;0;0
288,6665;274,3296;690,7872;331,4069;322,7363;706,7725;0;0;0;1,22309803962708;0,00661342823877931;0,0084953997284174;3,94890035948503E-09;7,96231049843277E-12;4,0398448475365E-12;0;0;0
