x;funkcja biblioteczna; blad bezwzgledny od przodu;blad bezwzgledny od tylu;blad bezwzgledny ciagu p.;blad bezwzgledny ciagu t.
-0.999800;-8.5171931914163483;3.3497171034130382;3.3497171034130417;3.3497171034130391;3.3400141264496011
-0.999600;-7.8240460108564021;2.6762759178743147;2.6762759178743156;2.6762759178743147;2.6667670323484058
-0.999400;-7.4185809027482374;2.2903239016225863;2.2903239016225871;2.2903239016225863;2.2810052627449000
-0.999200;-7.1308988302964567;2.0219645128058197;2.0219645128058259;2.0219645128058197;2.0128323512024622
-0.999000;-6.9077552789822469;1.8179556958974592;1.8179556958974583;1.8179556958974592;1.8090063161453136
-0.998800;-6.7254337221882929;1.6545833478683640;1.6545833478683623;1.6545833478683640;1.6458131270586591
-0.998600;-6.5712830423610340;1.5191987398876146;1.5191987398876146;1.5191987398876154;1.5106041262170677
-0.998400;-6.4377516497365113;1.4042526365783878;1.4042526365783896;1.4042526365783878;1.3958301479674722
-0.998200;-6.3199686140801283;1.3048764282794645;1.3048764282794654;1.3048764282794645;1.2966226510172429
-0.998000;-6.2146080984223016;1.2177465652944228;1.2177465652944246;1.2177465652944219;1.2096581527094825
-0.997800;-6.1192979186179768;1.1404931179566837;1.1404931179566855;1.1404931179566837;1.1325667891136195
-0.997600;-6.0322865416283475;1.0713667754088041;1.0713667754088059;1.0713667754088050;1.0635993138298065
-0.997400;-5.9522438339548112;1.0090395945262340;1.0090395945262349;1.0090395945262340;1.0014278469372995
-0.997200;-5.8781358618010886;0.9524798005615622;0.9524798005615640;0.9524798005615613;0.9450206756628310
-0.997000;-5.8091429903141378;0.9008698868600113;0.9008698868600087;0.9008698868600105;0.8935603541197992
-0.996800;-5.7446044691765668;0.8535512009189867;0.8535512009189850;0.8535512009189867;0.8463882893910517
-0.996600;-5.6839798473601313;0.8099853596014395;0.8099853596014430;0.8099853596014395;0.8029661567650326
-0.996400;-5.6268214335201829;0.7697267099829661;0.7697267099829617;0.7697267099829661;0.7628483606052159
-0.996200;-5.5727542122499072;0.7324022460515778;0.7324022460515778;0.7324022460515787;0.7256619510718654
-0.996000;-5.5214609178623562;0.6976966829284086;0.6976966829284077;0.6976966829284086;0.6910916983641737
