x;funkcja biblioteczna; blad bezwzgledny od przodu;blad bezwzgledny od tylu;blad bezwzgledny ciagu p.;blad bezwzgledny ciagu t.
0.556000;0.4421184257561317;0.0000000000000014;0.0000000000000013;0.0000000000000014;0.0000000000000007
0.556200;0.4422469522006245;0.0000000000000012;0.0000000000000013;0.0000000000000011;0.0000000000000007
0.556400;0.4423754621281933;0.0000000000000013;0.0000000000000013;0.0000000000000013;0.0000000000000003
0.556600;0.4425039555430825;0.0000000000000013;0.0000000000000013;0.0000000000000013;0.0000000000000007
0.556800;0.4426324324495354;0.0000000000000013;0.0000000000000014;0.0000000000000013;0.0000000000000008
0.557000;0.4427608928517931;0.0000000000000013;0.0000000000000014;0.0000000000000013;0.0000000000000011
0.557200;0.4428893367540954;0.0000000000000011;0.0000000000000014;0.0000000000000012;0.0000000000000002
0.557400;0.4430177641606804;0.0000000000000014;0.0000000000000014;0.0000000000000014;0.0000000000000008
0.557600;0.4431461750757846;0.0000000000000013;0.0000000000000014;0.0000000000000014;0.0000000000000008
0.557800;0.4432745695036429;0.0000000000000014;0.0000000000000014;0.0000000000000014;0.0000000000000009
0.558000;0.4434029474484883;0.0000000000000014;0.0000000000000016;0.0000000000000014;0.0000000000000007
0.558200;0.4435313089145524;0.0000000000000014;0.0000000000000015;0.0000000000000014;0.0000000000000009
0.558400;0.4436596539060654;0.0000000000000016;0.0000000000000016;0.0000000000000016;0.0000000000000006
0.558600;0.4437879824272553;0.0000000000000016;0.0000000000000016;0.0000000000000016;0.0000000000000012
0.558800;0.4439162944823489;0.0000000000000018;0.0000000000000016;0.0000000000000019;0.0000000000000008
0.559000;0.4440445900755712;0.0000000000000018;0.0000000000000017;0.0000000000000018;0.0000000000000009
0.559200;0.4441728692111457;0.0000000000000017;0.0000000000000017;0.0000000000000017;0.0000000000000010
0.559400;0.4443011318932942;0.0000000000000016;0.0000000000000017;0.0000000000000016;0.0000000000000008
0.559600;0.4444293781262370;0.0000000000000016;0.0000000000000018;0.0000000000000016;0.0000000000000009
0.559800;0.4445576079141924;0.0000000000000018;0.0000000000000018;0.0000000000000019;0.0000000000000012
0.560000;0.4446858212613774;0.0000000000000019;0.0000000000000018;0.0000000000000019;0.0000000000000011
0.560200;0.4448140181720074;0.0000000000000017;0.0000000000000019;0.0000000000000017;0.0000000000000009
0.560400;0.4449421986502961;0.0000000000000019;0.0000000000000019;0.0000000000000019;0.0000000000000007
0.560600;0.4450703627004555;0.0000000000000022;0.0000000000000019;0.0000000000000022;0.0000000000000012
0.560800;0.4451985103266961;0.0000000000000019;0.0000000000000020;0.0000000000000019;0.0000000000000012
0.561000;0.4453266415332267;0.0000000000000021;0.0000000000000020;0.0000000000000021;0.0000000000000012
0.561200;0.4454547563242545;0.0000000000000022;0.0000000000000021;0.0000000000000022;0.0000000000000013
0.561400;0.4455828547039852;0.0000000000000020;0.0000000000000021;0.0000000000000020;0.0000000000000010
0.561600;0.4457109366766226;0.0000000000000022;0.0000000000000021;0.0000000000000022;0.0000000000000013
0.561800;0.4458390022463693;0.0000000000000023;0.0000000000000021;0.0000000000000023;0.0000000000000013
0.562000;0.4459670514174259;0.0000000000000022;0.0000000000000022;0.0000000000000022;0.0000000000000009
0.562200;0.4460950841939915;0.0000000000000021;0.0000000000000022;0.0000000000000021;0.0000000000000012
0.562400;0.4462231005802638;0.0000000000000023;0.0000000000000023;0.0000000000000023;0.0000000000000016
0.562600;0.4463511005804385;0.0000000000000024;0.0000000000000023;0.0000000000000023;0.0000000000000014
0.562800;0.4464790841987101;0.0000000000000023;0.0000000000000024;0.0000000000000023;0.0000000000000009
0.563000;0.4466070514392712;0.0000000000000024;0.0000000000000024;0.0000000000000024;0.0000000000000015
0.563200;0.4467350023063129;0.0000000000000023;0.0000000000000024;0.0000000000000023;0.0000000000000010
0.563400;0.4468629368040246;0.0000000000000023;0.0000000000000025;0.0000000000000023;0.0000000000000013
0.563600;0.4469908549365943;0.0000000000000023;0.0000000000000025;0.0000000000000023;0.0000000000000013
0.563800;0.4471187567082082;0.0000000000000023;0.0000000000000026;0.0000000000000023;0.0000000000000012
0.564000;0.4472466421230509;0.0000000000000028;0.0000000000000026;0.0000000000000028;0.0000000000000016
